Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
WARNING: Proc sub-domain size < neighbor skin, could lead to lost atoms (src/domain.cpp:963)
Per MPI rank memory allocation (min/avg/max) = 4.263 | 4.265 | 4.267 Mbytes
Step        CPU                Time   Temp         Press        Volume       Density      TotEng
   10300    214.21948         10.3    5267.9301    4732546.1    2440.0019    7.0218464   -552498.36 
   10400    216.28815         10.4    5045.5501    4789034.1     2434.192    7.0386061   -552499.16 
   10500    218.28302         10.5    4935.0004    4626687.2    2452.3848    6.9863908   -552559.49 
   10600    220.32872         10.6    4985.6837    4644793.9    2449.4505      6.99476   -552550.35 
   10700    222.42409         10.7    5165.5748    4764753.9    2443.1026    7.0129344   -552543.77 
   10800    224.57466         10.8    5500.4393    4661615.6    2467.8868    6.9425057   -552647.12 
   10900    226.73383         10.9    4956.3512    4608797.6    2476.1731    6.9192734   -552688.67 
   11000    228.88436           11     5028.707    4741850.3    2452.6792    6.9855521   -552630.57 
   11100    231.02162         11.1    4907.0868    4791287.5     2450.791    6.9909341   -552633.08 
   11200    233.08619         11.2    4998.5796    4657971.6    2471.6987    6.9317988      -552700 
   11300    235.16221         11.3    5017.7643    4668899.3    2474.7961    6.9231232   -552724.43 
   11400     237.2137         11.4    4807.7467    4749727.6    2471.0556    6.9336031   -552731.74 
   11500     239.2663         11.5    4931.5893    4670201.2    2476.4072    6.9186192   -552758.36 
   11600    241.33225         11.6    5035.2575      4692846    2473.4008    6.9270288   -552745.06 
   11700    243.38382         11.7    5136.4238    4733035.6    2469.6352    6.9375909   -552713.45 
   11800    245.46058         11.8    5112.7663    4719812.2    2478.8448    6.9118157   -552719.69 
   11900    247.57947         11.9    5042.1685    4652300.4     2483.379    6.8991959    -552744.4 
   12000    249.62973           12    5007.9198      4726713    2473.3364    6.9272091   -552726.87 
   12100    251.68943         12.1    4990.1861    4705330.8    2471.8079    6.9314927   -552734.25 
   12200    253.73783         12.2     4896.756    4657927.2    2478.7739    6.9120133    -552759.7 
   12300    255.80552         12.3    4691.4641    4712055.2    2474.8002    6.9231118   -552747.51 
   12400    257.85911         12.4    4935.7422    4719567.9    2472.1425    6.9305544   -552709.54 
   12500    259.92717         12.5    5399.2128    4692339.1    2481.7456    6.9037369   -552722.73 
   12600    261.98005         12.6    4807.5833    4635168.2    2472.1729    6.9304693   -552713.69 
   12700    264.03611         12.7    4941.3592    4803273.1    2461.1645    6.9614681   -552698.24 
   12800    266.09461         12.8    4796.6159    4618839.7      2485.76    6.8925876   -552786.65 
   12900    268.13825         12.9    4922.7188    4650129.7     2481.551    6.9042782   -552772.85 
   13000    270.20078           13    5106.6222    4795152.1    2460.4154    6.9635877   -552694.07 
   13100    272.24938         13.1     4816.902    4671803.2    2481.1786    6.9053144   -552751.92 
   13200    274.29391         13.2    5090.8146    4597541.1    2494.7709    6.8676921   -552779.04 
   13300    276.37757         13.3    5070.3174    4782255.5    2467.5922    6.9433345   -552693.83 
   13400    278.42929         13.4    4963.4403    4764312.3    2468.0284    6.9421074   -552717.05 
   13500    280.49053         13.5    4880.0772    4578480.3    2492.6039    6.8736627   -552804.38 
   13600    282.53409         13.6    5051.3084    4704850.3    2473.3199    6.9272552   -552748.39 
   13700    284.58334         13.7     4942.631      4841692    2457.3432    6.9722937   -552690.41 
   13800    286.64788         13.8    5025.6461    4580625.1    2493.6065    6.8708989   -552774.43 
   13900    288.69182         13.9    4866.2615    4484268.7    2488.1301    6.8860219   -552738.86 
   14000    290.78116           14    4890.6634    4984438.8    2410.6847    7.1072416   -552488.35 
   14100    292.86282         14.1    5019.8592    4794541.8    2442.6161    7.0143312    -552581.7 
   14200    294.93754         14.2    4884.3152    4396098.5    2508.5302    6.8300227   -552763.88 
   14300    296.99243         14.3    5332.2095    4749672.1    2453.9096    6.9820495   -552585.53 
   14400    299.05535         14.4     5151.931    4898100.8    2410.4733    7.1078649   -552419.44 
   14500    301.06294         14.5    5119.2151    4675929.9    2447.6122    7.0000135   -552517.64 
   14600    302.99009         14.6    5206.3581    4532136.1    2468.0304    6.9421018   -552589.77 
   14700    305.03829         14.7     4778.531    4759435.9    2429.6576     7.051742   -552503.18 
   14800    307.05217         14.8     4948.062    4827872.2    2421.7069    7.0748934   -552493.27 
   14900    308.99755         14.9    5050.8097    4631058.6    2468.2969    6.9413524   -552634.94 
   15000    311.08743           15    5109.1658      4568624    2477.6745    6.9150804   -552663.07 
   15100    313.11315         15.1    4820.6523    4815333.9    2435.3327     7.035309   -552545.86 
   15200    315.10271         15.2    4783.0694    4782582.2    2429.6658    7.0517182   -552535.45 
   15300    317.06401         15.3    5144.4418    4649446.4    2466.2668     6.947066   -552639.63 
   15400    319.06145         15.4    5462.1533    4603030.5    2475.0042    6.9225411   -552642.12 
   15500    321.07367         15.5    4933.2258    4723878.8    2436.3416    7.0323958   -552494.97 
   15600    323.11428         15.6    5473.9733    4814922.5    2419.2434    7.0820979   -552423.78 
   15700    325.12284         15.7    5254.8084    4611966.1    2458.0618    6.9702552   -552519.87 
   15800    327.09506         15.8     5398.124    4586330.2    2464.2889    6.9526419   -552530.05 
   15900    329.08967         15.9     5138.836    4793055.7    2434.6179    7.0373745   -552483.96 
   16000     331.1953           16    5064.3748    4770166.8    2444.4536    7.0090585   -552543.56 
   16100    333.30477         16.1    5221.3769    4572296.5    2479.8359    6.9090532   -552678.49 
   16200    335.33152         16.2    5061.8073    4673033.3    2464.3375    6.9525049   -552652.35 
   16300    337.37831         16.3    4993.7275    4797833.9     2440.485    7.0204564    -552592.8 
   16400    339.40042         16.4    4735.6674    4719483.6     2457.518    6.9717978   -552642.33 
   16500    341.42588         16.5    4982.7446    4590003.1    2471.6933     6.931814   -552653.45 
   16600      343.494         16.6    4861.2749    4711592.4     2445.604    7.0057614   -552550.73 
   16700    345.49547         16.7    4898.5556    4786577.1    2424.6565    7.0662867   -552463.57 
   16800    347.45458         16.8    5113.4462    4712875.4    2438.9583    7.0248509   -552490.87 
   16900    349.45943         16.9    4907.1377    4612633.3    2455.8949    6.9764054   -552529.37 
   17000    351.52126           17    4997.1041    4726131.8    2444.9178    7.0077276   -552525.09 
   17100    353.61684         17.1      4828.89    4702269.2    2432.2889    7.0441132   -552504.18 
   17200    355.76748         17.2    4969.6444    4753820.4     2434.619    7.0373716   -552514.88 
   17300     357.8762         17.3    5019.1465    4650200.2    2455.5968    6.9772523   -552564.37 
   17400    359.91896         17.4     5051.969    4648371.8    2458.7399     6.968333   -552569.91 
   17500    361.98712         17.5    5323.4986    4775576.2    2449.8835    6.9935237   -552581.49 
   17600    364.06888         17.6    4919.9219    4695840.6    2454.7436    6.9796773   -552612.93 
   17700    366.17099         17.7    4974.4527    4643765.1    2464.3802    6.9523845   -552649.35 
   17800    368.19647         17.8    4932.3958    4687776.2    2460.9995     6.961935   -552648.89 
   17900    370.22461         17.9    4767.4104    4721772.7    2458.9242    6.9678106   -552659.94 
   18000    372.23456           18    5046.1788    4778726.8    2467.5346    6.9434968   -552699.39 
   18100    374.23122         18.1    4848.6153      4647438     2485.204    6.8941296   -552771.38 
   18200    376.29963         18.2     4857.871    4686823.2    2481.6983    6.9038683   -552768.08 
   18300    378.40423         18.3    4788.2971      4772652    2463.3782    6.9552123   -552718.92 
   18400    380.52663         18.4    4973.0287    4697710.5    2474.4307    6.9241455   -552745.39 
   18500    382.63016         18.5     5207.721    4646547.7    2482.6138    6.9013226    -552753.7 
   18600    384.74644         18.6     4874.018    4757154.3    2451.6269    6.9885505   -552638.23 
   18700    386.88954         18.7     5215.962    4823495.7    2442.5895    7.0144077   -552595.36 
   18800    389.01121         18.8    4988.5265    4649036.1    2473.4422    6.9269127   -552670.01 
   18900    391.14079         18.9    5125.9567    4647024.5    2476.5952    6.9180939   -552671.95 
   19000     393.2591           19    4791.5222    4727321.7    2444.3168    7.0094507   -552583.71 
   19100    395.40895         19.1     5074.081    4818078.6    2428.4653    7.0552041    -552542.2 
   19200    397.62761         19.2    4935.8488    4637660.6    2457.5321    6.9717577   -552602.15 
   19300    399.76351         19.3    4901.3292    4603785.4    2467.2022    6.9444322   -552609.91 
   19400     401.9132         19.4    5016.7286    4721456.1    2431.6519    7.0459586   -552479.73 
   19500    404.06206         19.5    5119.7276    4824096.8    2417.9835    7.0857881   -552423.72 
   19600    406.04085         19.6    5177.5066    4624581.4     2453.004    6.9846271   -552517.38 
   19700    408.00734         19.7    5141.3888    4675227.3    2454.2292    6.9811402   -552489.57 
   19800    410.08303         19.8    5232.4311    4796592.7    2429.6118    7.0518748   -552434.08 
   19900    412.11534         19.9    5108.0224    4704637.2    2435.3338    7.0353061   -552481.78 
   20000    414.10009           20    5050.9738      4649807    2446.3199    7.0037113   -552531.88 
   20100     416.0598         20.1    4874.1615      4716731    2435.0231    7.0362037   -552493.64 
   20200    418.01109         20.2    5233.5309    4722544.4      2429.18    7.0531284   -552465.78 
   20300    419.98821         20.3     5465.676    4723603.7    2445.5917    7.0057967   -552509.64 
   20400    422.11702         20.4    5217.0669    4666144.7    2460.3855    6.9636723   -552552.47 
   20500    424.13726         20.5    5383.9331    4719939.5    2450.8504    6.9907648   -552563.69 
   20600    426.22048         20.6    5160.5617    4742874.4    2446.7719    7.0024175   -552568.63 
   20700    428.28231         20.7    5258.3038    4717551.4     2460.251    6.9640531   -552623.44 
   20800    430.35622         20.8     4953.739    4635891.2    2474.5782    6.9237328   -552690.01 
   20900    432.40856         20.9    5047.5956    4700520.9    2465.4436    6.9493857   -552677.24 
   21000    434.46687           21    5014.7843    4785929.7    2452.0309     6.987399   -552640.37 
   21100    436.53277         21.1    5332.8265    4740018.1     2466.141    6.9474205   -552674.68 
   21200    438.57667         21.2    4831.4473    4596562.2    2480.4261    6.9074093    -552703.5 
   21300    440.59026         21.3    4695.1903    4672538.7    2460.6544    6.9629113   -552624.27 
   21400    442.64693         21.4    5070.4162    4736771.8      2442.15    7.0156699   -552554.67 
   21500    444.86785         21.5    4901.8632    4672071.1     2445.055    7.0073345   -552538.18 
   21600    446.89356         21.6    5059.5219    4711611.1    2439.9124    7.0221039   -552477.08 
   21700    448.84083         21.7    5107.4861    4749689.5    2432.3753    7.0438631   -552455.83 
   21800    450.90684         21.8     4846.954    4678255.8    2441.6392    7.0171377   -552501.93 
   21900    452.83167         21.9    4925.2663    4658519.4    2440.0735    7.0216404   -552508.88 
   22000    454.76945           22    5086.1981    4760569.7    2428.6116    7.0547792   -552481.42 
   22100    456.82263         22.1    5282.4309    4665034.9    2447.9826    6.9989544   -552516.98 
   22200    458.83838         22.2    5119.6612    4576434.3    2460.6693    6.9628692    -552525.5 
   22300    460.89215         22.3    5016.0986    4740497.2    2432.3824    7.0438424    -552454.9 
   22400    462.84523         22.4    5205.8821      4817373    2426.7351    7.0602342   -552475.82 
   22500    464.90724         22.5    4996.9524      4606305    2468.4831    6.9408287    -552620.7 
   22600    467.04995         22.6    5033.4288      4596620     2470.033    6.9364735   -552639.51 
   22700    469.25607         22.7    5115.0773    4876985.2    2428.8989    7.0539445   -552527.83 
   22800     471.2902         22.8    4857.6768    4759466.5    2438.0486     7.027472   -552556.89 
   22900    473.27116         22.9    5464.2051    4665830.9    2474.3867    6.9242688   -552650.91 
   23000    475.25058           23    5380.0588    4599425.3    2484.2612    6.8967458   -552693.48 
   23100    477.22254         23.1     5173.815    4756346.5    2455.8374    6.9765688   -552641.38 
   23200    479.19423         23.2     5050.977    4752757.1    2459.8563    6.9651706   -552670.17 
   23300    481.16564         23.3    5447.3073    4637843.3    2490.1351    6.8804775   -552765.09 
   23400      483.117         23.4    5433.8414    4605275.6     2489.139    6.8832309    -552780.9 
   23500    485.09772         23.5    4873.8799    4762419.1    2464.8592    6.9510333   -552731.45 
   23600    487.15448         23.6     4946.443    4721238.7    2474.1007    6.9250692   -552764.31 
   23700    489.10757         23.7    4819.6031    4629418.6    2486.6928     6.890002   -552805.17 
   23800    491.07191         23.8    4914.8968    4744451.3    2471.8083    6.9314916   -552747.57 
   23900    493.02882         23.9    5100.6246    4756763.3    2474.3845    6.9242749   -552734.48 
   24000    494.99394           24    5165.4189    4636318.2    2490.9427    6.8782468   -552782.73 
   24100    496.94444         24.1    4904.7954      4692762     2478.333    6.9132431   -552769.65 
   24200     498.9027         24.2    4991.1769    4772186.1    2464.8752    6.9509881   -552741.35 
   24300    500.87125         24.3    4903.8279    4673046.6    2481.0649     6.905631   -552786.49 
   24400    502.82335         24.4    5214.0457    4639766.2    2484.2434    6.8967954   -552781.74 
   24500    504.77659         24.5      5271.09    4764354.3    2469.5191     6.937917   -552728.22 
   24600    506.74352         24.6    5131.2473    4727711.1    2475.3313    6.9216264   -552744.26 
   24700     508.6959         24.7     4897.199    4640827.9    2488.1894    6.8858579   -552784.35 
   24800    510.66217         24.8    5214.1546    4708980.6    2477.1152    6.9166418   -552766.71 
   24900    512.61804         24.9    4872.4797    4750669.2    2467.0476    6.9448673   -552753.24 
   25000    514.57179           25    4932.4885    4679129.9    2479.4539    6.9101178   -552782.77 
   25100    516.59618         25.1    5174.1483    4651025.5    2483.0993    6.8999731    -552772.9 
   25200    518.58018         25.2    4997.0905      4689500    2473.3244    6.9272427   -552741.48 
   25300    520.58488         25.3    4989.7741    4738562.5    2467.1502    6.9445786   -552712.93 
   25400    522.57632         25.4    4651.5271    4658062.2    2469.9962    6.9365768   -552713.14 
   25500    524.57257         25.5    4995.6459    4737221.8    2458.6074    6.9687086   -552663.12 
   25600    526.58831         25.6     5007.727    4716900.3    2457.1247    6.9729135   -552647.62 
   25700    528.58671         25.7    4925.9186    4668660.1    2470.2477    6.9358706   -552672.61 
   25800    530.60262         25.8    5165.5644    4693219.7    2465.9668    6.9479111   -552647.38 
   25900    532.60346         25.9    4939.0186    4670408.2    2453.1678    6.9841608   -552587.47 
   26000    534.62051           26    5209.2051    4754519.3     2442.981    7.0132836   -552523.93 
   26100    536.65166         26.1    5227.4953    4724612.2    2449.9828    6.9932402   -552541.27 
   26200    538.66031         26.2    5546.6387    4730016.2    2464.0009    6.9534546   -552604.49 
   26300     540.6785         26.3    5632.7232    4681809.8    2473.7968    6.9259198   -552661.75 
   26400    542.67734         26.4    5097.4236    4688329.8    2466.8896    6.9453122   -552661.85 
   26500    544.67758         26.5    4987.6301    4750998.8     2457.048    6.9731314   -552651.88 
   26600    546.71244         26.6    4971.9539      4664086    2468.5332    6.9406878    -552697.3 
   26700    548.70645         26.7     5000.606    4663510.5    2472.8224     6.928649   -552709.15 
   26800    550.72414         26.8    4833.8246    4726814.5     2453.954    6.9819231   -552626.79 
   26900    552.73575         26.9    4779.1483      4732031    2439.9354    7.0220376   -552550.84 
   27000    554.75249           27    4934.3503    4719536.3    2439.0408    7.0246133   -552520.51 
   27100    556.78184         27.1    5284.3458    4680119.4    2450.8486    6.9907697    -552543.7 
   27200    558.75759         27.2    5047.5465    4646481.5    2448.4541    6.9976064   -552515.55 
   27300    560.76842         27.3    5031.5548    4828019.5    2421.1078    7.0766441   -552415.37 
   27400    562.86988         27.4    5309.5133    4735901.9     2433.818    7.0396876   -552436.18 
   27500    564.89733         27.5    5185.8095    4538421.1    2461.2652    6.9611832   -552529.68 
   27600    566.85615         27.6    5177.3541    4692844.6    2430.5652    7.0491087   -552465.26 
   27700    568.87326         27.7    4731.8561    4852779.9     2407.073    7.1179055   -552408.47 
   27800    571.06055         27.8      4954.61    4594656.8    2446.1848     7.004098   -552521.38 
   27900    573.05526         27.9    5064.6252    4557167.5    2454.2258    6.9811501    -552512.9 
   28000    575.06319           28    5150.2097    4760672.6    2427.1084    7.0591483   -552426.21 
   28100     577.1797         28.1    5223.5813    4689928.8    2432.7953    7.0426468   -552456.08 
   28200    579.17291         28.2    5064.1804      4654617    2444.6487    7.0084993    -552518.2 
