# Chunk-averaged data for fix allrho1 and group c_keatom
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass c_keatom
10000 5 4352.08
  1 41.9987 1368.54 5.04532 2.3135
  2 49.9987 1421.65 5.23637 2.19122
  3 57.9987 1418.15 5.22019 2.17186
  4 65.9987 1412.56 5.2072 2.0802
  5 73.9987 1405.28 5.18092 1.92563
  6 81.9987 1376.61 5.07053 1.75944
  7 89.9987 1314.64 4.84134 1.56318
  8 97.9987 1258.61 4.63474 1.19298
  9 105.999 1161.5 4.27678 0.897848
  10 113.999 1174.25 4.32788 0.783777
  11 121.999 1146.9 4.22768 0.733395
  12 129.999 1156.53 4.25819 0.738143
  13 137.999 1131.9 4.16984 0.798543
  14 145.999 1130.67 4.16554 0.838477
  15 153.999 1066.21 3.92809 0.85167
  16 161.999 1058.51 3.89682 0.292054
  17 169.999 1183.27 4.36371 0.987458
  18 177.999 1086.21 3.99998 0.552152
  19 185.999 1024 3.77246 0.0214517
  20 193.999 1023.1 3.76943 0.0262763
  21 201.999 512.954 1.88946 0.00398455
220000 22 25856.1
  1 43.998 1378.39 5.08021 2.31871
  2 51.998 1424.33 5.24781 2.1607
  3 59.998 1417.48 5.21809 2.16017
  4 67.998 1417.06 5.22322 2.16759
  5 75.998 1414.53 5.21444 1.97605
  6 83.998 1386.09 5.10641 1.86655
  7 91.998 1351.67 4.97983 1.70558
  8 99.998 1271.41 4.67973 1.33859
  9 107.998 1211.3 4.46186 0.95993
  10 115.998 1137.2 4.19029 0.782798
  11 123.998 1181.43 4.35141 0.771288
  12 131.998 1091.4 4.0194 0.744663
  13 139.998 1202.99 4.43775 0.728272
  14 147.998 1040.78 3.82796 0.802076
  15 155.998 1225.56 4.51254 0.793752
  16 163.998 1072.39 3.95523 0.795306
  17 171.998 1024.01 3.7725 0.287117
  18 179.998 1185.97 4.36514 1.00404
  19 187.998 1118.02 4.12287 0.376462
  20 195.998 771.678 2.84354 0.0214901
  21 203.998 1020.32 3.75827 0.0265402
  22 211.998 512.077 1.88652 0.00400074
230000 22 26624
  1 45.9983 1385.84 5.10988 2.3503
  2 53.9983 1428.48 5.26036 2.21219
  3 61.9983 1415.56 5.21207 2.17961
  4 69.9983 1423.57 5.24697 2.13378
  5 77.9983 1421.67 5.23911 2.04353
  6 85.9983 1391.75 5.12658 1.95352
  7 93.9983 1371.94 5.05682 1.79865
  8 101.998 1319.43 4.85653 1.51472
  9 109.998 1199.97 4.4195 1.06709
  10 117.998 1200.61 4.42532 0.805933
  11 125.998 1100.07 4.0504 0.751832
  12 133.998 1207.58 4.44917 0.764079
  13 141.998 1063.54 3.92375 0.735332
  14 149.998 1223.58 4.498 0.73721
  15 157.998 1048.4 3.86568 0.776696
  16 165.998 1198.65 4.41827 0.844702
  17 173.998 1103.36 4.06335 0.57524
  18 181.998 1024 3.77246 0.436342
  19 189.998 1170.52 4.31318 0.940617
  20 197.998 877.477 3.23175 0.341321
  21 205.998 1024 3.77246 0.0243037
  22 213.998 1024 3.77246 0.0207017
240000 23 27776
  1 47.9969 1393.18 5.13693 2.38193
  2 55.9969 1429.53 5.26456 2.26169
  3 63.9969 1420.18 5.22997 2.21381
  4 71.9969 1420.8 5.2351 2.11785
  5 79.9969 1423.04 5.2466 2.07412
  6 87.9969 1402.47 5.16449 2.01928
  7 95.9969 1383.32 5.09594 1.86634
  8 103.997 1345.33 4.95444 1.66306
  9 111.997 1267.65 4.66949 1.25351
  10 119.997 1142.42 4.21174 0.85646
  11 127.997 1203.25 4.4274 0.770005
  12 135.997 1091.95 4.02435 0.737141
  13 143.997 1204.98 4.44032 0.772632
  14 151.997 1071.4 3.94138 0.714789
  15 159.997 1190.33 4.392 0.769516
  16 167.997 1090.15 4.01459 0.714596
  17 175.997 1148.81 4.23192 0.883899
  18 183.997 1155.19 4.25612 0.372319
  19 191.997 996.909 3.67384 0.705841
  20 199.997 1051.09 3.87109 0.899741
  21 207.997 1024 3.77246 0.177171
  22 215.997 1024 3.77246 0.0261895
  23 223.997 896.026 3.301 0.0153362
250000 24 28928.1
  1 49.9975 1393.36 5.13698 2.39132
  2 57.9975 1436.48 5.29012 2.28438
  3 65.9975 1423 5.2411 2.24747
  4 73.9975 1426.88 5.25822 2.19939
  5 81.9975 1415.74 5.21733 2.05363
  6 89.9975 1408.21 5.1874 2.04359
  7 97.9975 1403.86 5.17045 1.96998
  8 105.997 1364.47 5.02571 1.74603
  9 113.997 1282.96 4.72753 1.44986
  10 121.997 1221.53 4.49933 0.997732
